City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,bikenibeu village,1.3673,173.1241,27.98,78,20,0.0,KI,1691065417
131,port lincoln,-34.7333,135.8667,18.78,64,100,8.61,AU,1691065356
132,ribeira grande,38.5167,-28.7,26.22,65,20,6.69,PT,1691065147
133,labrador city,52.9463,-66.9114,11.95,87,75,2.06,CA,1691065420
134,tapejara,-28.0681,-52.0139,15.21,80,1,1.08,BR,1691065421
135,sisimiut,66.9395,-53.6735,7.13,80,100,1.41,GL,1691065424
136,ola,59.5833,151.2833,16.19,84,100,2.36,RU,1691065425
137,lerwick,60.1545,-1.1494,15.0,88,100,7.23,GB,1691065426
138,papatowai,-46.5619,169.4708,7.3,87,50,4.45,NZ,1691065427
139,la ronge,55.1001,-105.2842,11.14,100,75,1.03,CA,1691065428
140,suntar,62.1444,117.6319,19.57,54,21,2.21,RU,1691065429
141,mata-utu,-13.2816,-176.1745,27.65,77,19,6.43,WF,1691065430
142,st. john's,47.5649,-52.7093,20.08,75,75,5.14,CA,1691065431
143,acapulco de juarez,16.8634,-99.8901,23.9,94,75,2.57,MX,1691065432
144,glazunovka,52.4986,36.3275,27.61,51,3,3.13,RU,1691065434
145,turkeli,41.9476,34.3386,26.64,62,10,2.96,TR,1691065435
146,gorontalo,0.5412,123.0595,25.11,89,18,1.57,ID,1691065239
147,veinticinco de mayo,-35.4323,-60.1727,6.1,76,13,1.79,AR,1691065437
148,monchique,37.3177,-8.5553,26.99,27,0,6.11,PT,1691065439
149,salaqi,40.5414,110.5108,21.81,84,97,4.86,CN,1691065163
150,nova sintra,14.8667,-24.7167,22.51,78,93,3.86,CV,1691065441
151,ternate,0.8,127.4,27.35,81,10,2.43,ID,1691065441
152,carnarvon,-24.8667,113.6333,17.44,56,40,6.93,AU,1691065231
153,charters towers,-20.1,146.2667,15.96,70,40,4.07,AU,1691065444
154,mili,6.0815,171.735,27.79,79,72,3.95,MH,1691065445
155,hermanus,-34.4187,19.2345,20.55,50,12,0.64,ZA,1691065446
156,parauapebas,-6.0675,-49.9022,29.99,65,0,1.03,BR,1691065448
157,khanty-mansiysk,61.0042,69.0019,21.06,94,20,0.0,RU,1691065448
158,forbes,-33.3833,148.0167,13.29,77,45,3.83,AU,1691065159
159,crane,31.3974,-102.3501,25.24,57,83,6.54,US,1691065450
160,kutum,14.2,24.6667,30.61,38,74,3.68,SD,1691065452
161,usogorsk,63.4106,48.6872,26.49,44,29,2.22,RU,1691065453
162,tsiombe,-25.3,45.4833,21.46,50,16,8.33,MG,1691065454
163,papao,-17.75,-149.55,22.82,76,5,5.84,PF,1691065455
164,naryn,41.4287,75.9911,26.76,22,7,3.08,KG,1691065456
165,sitka,57.0531,-135.33,13.94,88,40,0.0,US,1691065457
166,brookings,44.3114,-96.7984,19.65,98,40,0.0,US,1691065458
167,ilulissat,69.2167,-51.1,8.01,81,75,2.06,GL,1691065459
168,tashla,51.7716,52.7427,30.3,30,95,4.08,RU,1691065461
169,vorgashor,67.5833,63.95,27.95,47,2,2.08,RU,1691065462
170,noumea,-22.2763,166.4572,21.11,99,100,6.14,NC,1691065463
171,saint-pierre,-21.3393,55.4781,24.76,73,75,9.77,RE,1691065464
172,ta`u,-14.2336,-169.5144,27.35,71,17,5.53,AS,1691065465
173,kapuskasing,49.4169,-82.4331,15.05,94,40,3.09,CA,1691065466
174,vila franca do campo,37.7167,-25.4333,25.23,75,47,2.79,PT,1691065467
175,pangody,65.85,74.4859,29.69,38,1,6.17,RU,1691065468
176,rolante,-29.6506,-50.5758,20.92,89,28,0.85,BR,1691065469
177,gamay,12.3854,125.2979,27.11,82,96,2.19,PH,1691065471
178,gangapur,26.4833,76.7167,31.96,63,98,2.57,IN,1691065472
179,zyryanovsk,49.7386,84.2719,28.78,38,33,2.69,KZ,1691065473
180,toliara,-23.35,43.6667,27.37,46,0,5.99,MG,1691065474
181,villa gesell,-37.2639,-56.973,7.25,65,6,3.13,AR,1691065475
182,revda,56.801,59.9303,21.01,73,96,2.01,RU,1691065476
183,touros,-5.1989,-35.4608,28.01,64,24,7.54,BR,1691065477
184,carutapera,-1.195,-46.02,28.01,75,22,3.45,BR,1691065478
185,broken hill,-31.95,141.4333,16.08,44,11,5.37,AU,1691065479
186,queenstown,-31.8976,26.8753,18.3,26,0,7.73,ZA,1691065206
187,polyarnyy,69.1989,33.4478,23.85,53,17,6.86,RU,1691065481
188,karnobat,42.65,26.9833,30.91,24,0,3.01,BG,1691065482
189,krasnyy chikoy,50.3643,108.7512,14.78,98,100,1.42,RU,1691065483
190,nemuro,43.3236,145.575,18.56,95,100,7.44,JP,1691065485
191,santa ana,33.7456,-117.8678,20.58,86,100,1.54,US,1691065486
192,guerrero negro,27.9769,-114.0611,19.39,89,0,4.5,MX,1691065487
193,lebu,-37.6167,-73.65,5.96,69,71,8.55,CL,1691065489
194,dunedin,-45.8742,170.5036,7.11,89,13,2.93,NZ,1691065368
195,saint-philippe,-21.3585,55.7679,23.77,84,49,6.36,RE,1691065490
196,geraldton,-28.7667,114.6,8.23,87,2,3.09,AU,1691065491
197,lubumbashi,-11.6609,27.4794,25.25,30,0,2.77,CD,1691065493
198,stanley,54.868,-1.6985,17.08,77,75,3.6,GB,1691065494
199,borovskoy,53.8,64.15,24.14,59,57,5.65,KZ,1691065495
200,sandnessjoen,66.0217,12.6316,17.29,94,75,7.72,NO,1691065497
201,kone,-21.0595,164.8658,18.02,86,100,2.42,NC,1691065498
202,rio grande,-32.035,-52.0986,15.06,76,93,5.47,BR,1691065499
203,phan rang-thap cham,11.5667,108.9833,27.14,84,98,6.5,VN,1691065235
